museum_id,outcome_main_event,outcome_main_recipient
mm.domus.SC009,mostly transferred,mostly museum
mm.domus.SC010,mostly transferred,mostly museum
mm.domus.SC012,mostly transferred,mostly museum
mm.domus.SC016,mostly moved,mostly museum/library/archive
mm.domus.SC024,mostly stored,mostly NA
mm.domus.SC026,mostly left,mostly NA
mm.domus.SC029,mostly stored,mostly NA
mm.domus.SC041,mixed,mostly NA
mm.domus.SC053,mostly returned,mostly museum
mm.domus.SC105,mostly stored,mostly NA
mm.domus.SC110,mostly left,mostly NA
mm.domus.SC123,mostly transferred,mixed
mm.domus.SC141,mostly moved,mostly NA
mm.domus.SC193,mixed,mixed
mm.domus.SC202,mixed,mixed
mm.domus.SC215,mixed,mixed
mm.domus.SC224,mostly stored,mostly NA
mm.domus.SC229,mostly stored,mostly NA
mm.domus.SC231,mostly stored,mostly NA
mm.domus.SC236,mostly left,mostly NA
mm.domus.SC237,mixed,mixed
mm.domus.SC242,mostly moved,mixed
mm.domus.SC263,mostly transferred,mostly museum/library/archive
mm.domus.SC282,mostly moved,mixed
mm.domus.SC297,mostly transferred,mostly museum
mm.domus.SC299,mostly transferred,mostly museum
mm.domus.SC305,mostly transferred,mixed
mm.domus.SC319,mostly stored,mostly NA
mm.domus.SE009,mostly stored,mostly NA
mm.domus.SE014,mostly stored,mostly NA
mm.domus.SE040,mostly stored,mostly NA
mm.domus.SE059,mostly transferred,mixed
mm.domus.SE066,mostly transferred,mixed
mm.domus.SE074,mostly transferred,mostly civic organisation
mm.domus.SE075,mostly returned,mixed
mm.domus.SE076,mostly transferred,mostly museum
mm.domus.SE078,mixed,mixed
mm.domus.SE091,mixed,mixed
mm.domus.SE100,mostly transferred,mostly museum
mm.domus.SE103,mostly transferred,mostly museum
mm.domus.SE104,mostly moved,mixed
mm.domus.SE107,mostly stored,mostly NA
mm.domus.SE109,mostly transferred,mostly museum
mm.domus.SE112,mostly stored,mostly NA
mm.domus.SE149,mostly transferred,mostly museum
mm.domus.SE185,mostly transferred,mostly museum
mm.domus.SE189,mostly transferred,mostly museum
mm.domus.SE190,mostly stored,mostly NA
mm.domus.SE193,mostly transferred,mostly NA
mm.domus.SE216,mostly transferred,mostly museum
mm.domus.SE222,mostly transferred,mostly museum
mm.domus.SE251,mostly transferred,mostly museum
mm.domus.SE263,mostly transferred,mostly museum
mm.domus.SE264,mostly left,mostly NA
mm.domus.SE268,mostly stored,mostly NA
mm.domus.SE275,mostly transferred,mostly museum
mm.domus.SE276,mostly transferred,mostly museum
mm.domus.SE279,mostly transferred,mostly museum
mm.domus.SE286,mostly transferred,mostly civic organisation
mm.domus.SE299,mostly stored,mostly NA
mm.domus.SE311,mostly stored,mostly NA
mm.domus.SE324,mixed,mixed
mm.domus.SE327,mostly transferred,mostly museum
mm.domus.SE332,mostly transferred,mostly museum
mm.domus.SE354,mostly transferred,mixed
mm.domus.SE363,mostly stored,mostly NA
mm.domus.SE387,mixed,mixed
mm.domus.SE414,mostly stored,mostly NA
mm.domus.SE421,mostly stored,mostly NA
mm.domus.SE446,mostly transferred,mostly museum
mm.domus.SE453,mixed,mixed
mm.domus.SE456,mixed,mixed
mm.domus.SE457,mostly stored,mostly NA
mm.domus.SE458,mostly transferred,mostly museum
mm.domus.SE467,mixed,mixed
mm.domus.SE471,mostly transferred,mostly museum
mm.domus.SE489,mostly stored,mostly NA
mm.domus.SE509,mostly returned,mixed
mm.domus.SE561,mostly stored,mostly NA
mm.domus.SE605,mostly stored,mostly NA
mm.domus.SW009,mostly stored,mostly NA
mm.domus.SW028,mixed,mixed
mm.domus.SW043,mostly transferred,mostly museum/library/archive
mm.domus.SW066,mostly transferred,mostly museum
mm.domus.SW067,mostly returned,mostly unknown
mm.domus.SW077,mostly moved,mixed
mm.domus.SW078,mostly transferred,mixed
mm.domus.SW092,mostly transferred,mostly museum
mm.domus.SW108,mostly stored,mostly NA
mm.domus.SW113,mostly left,mostly NA
mm.domus.SW142,mostly moved,mixed
mm.domus.SW147,mixed,mixed
mm.domus.SW153,mostly transferred,mixed
mm.domus.SW168,mostly kept,mostly NA
mm.domus.SW192,mostly sold,mostly museum
mm.domus.WA010,mostly transferred,mostly civic organisation
mm.domus.WA011,mostly left,mostly NA
mm.domus.WA012,mostly returned,mostly museum
mm.domus.WA013,mostly left,mostly NA
mm.domus.WA017,mostly transferred,mostly civic organisation
mm.domus.WA028,mostly left,mostly NA
mm.domus.WA040,mostly left,mostly NA
mm.domus.WA051,mostly stored,mostly NA
mm.domus.WA059,mostly transferred,mostly museum
mm.domus.WA067,mixed,mostly museum
mm.domus.WA074,mixed,mixed
mm.domus.WA083,mostly left,mostly NA
mm.domus.WA088,mostly returned,mostly museum
mm.domus.WM012,mostly transferred,mostly museum
mm.domus.WM018,mostly stored,mostly NA
mm.domus.WM021,mostly transferred,mostly museum
mm.domus.WM044,mostly stored,mostly NA
mm.domus.WM047,mostly stored,mostly NA
mm.domus.WM048,mostly returned,mixed
mm.domus.WM051,mixed,mostly NA
mm.domus.WM076,mostly transferred,mostly museum
mm.domus.WM109,mostly stored,mostly NA
mm.domus.WM131,mostly returned,mostly unknown
mm.domus.YH001,mostly transferred,mostly museum
mm.domus.YH012,mostly stored,mostly NA
mm.domus.YH015,mostly stored,mostly NA
mm.domus.YH018,mostly transferred,mostly museum
mm.domus.YH033,mostly stored,mostly NA
mm.domus.YH051,mostly stored,mostly NA
mm.domus.YH056,mostly stored,mostly NA
mm.domus.YH059,mostly stored,mostly NA
mm.domus.YH082,mostly sold,mostly unknown
mm.domus.YH086,mostly stored,mostly NA
mm.domus.YH095,mostly returned,mostly museum
mm.domus.YH109,mostly transferred,mostly museum/library/archive
mm.domus.YH117,mostly transferred,mostly museum
mm.domus.YH163,mostly moved,mostly museum
mm.domus.YH165,mostly transferred,mostly museum
mm.domus.YH166,mostly transferred,mixed
mm.fcm.062,mostly stored,mostly NA
mm.fcm.114,mostly transferred,mixed
mm.fcm.137,mostly stored,mostly NA
mm.fcm.154,mixed,mostly individual
mm.fcm.160,mostly sold,mostly unknown
mm.fcm.172,mostly sold,mixed
mm.fcm.175,mixed,mostly unknown
mm.fcm.207,mostly stored,mostly NA
mm.fcm.279,mostly sold,mostly museum
mm.hha.066,mixed,mostly NA
mm.hud.007,mostly sold,mostly unknown
mm.hud.024,mostly stored,mostly NA
mm.mald.013,mostly sold,mostly unknown
mm.mald.027,mixed,mixed
mm.mald.148,mixed,mixed
mm.mald.159,mostly stored,mostly NA
mm.mgs.293,mostly left,mostly NA
mm.mgs.298,mostly stored,mostly NA
mm.mgs.302,mostly transferred,mostly museum
mm.mgs.311,mostly stored,mostly NA
mm.mgs.316,mixed,mixed
mm.mgs.341,mostly left,mostly individual
mm.mgs.353,mostly returned,mostly individual
mm.mgs.357,mostly transferred,mostly museum
mm.mgs.380,mostly stored,mostly NA
mm.mgs.413,mostly sold,mostly unknown
mm.misc.004,mostly stored,mostly NA
mm.misc.012,mostly transferred,mostly museum
mm.misc.014,mostly left,mostly NA
mm.misc.019,mostly sold,mostly unknown
mm.misc.030,mostly sold,mostly unknown
mm.misc.046,mostly sold,mixed
mm.misc.047,mixed,mixed
mm.misc.051,mostly stored,mostly NA
mm.misc.053,mostly stored,mostly NA
mm.misc.055,mostly stored,mostly NA
mm.misc.060,mixed,mixed
mm.misc.070,mostly sold,mostly unknown
mm.misc.072,mostly stored,mostly NA
mm.misc.075,mixed,mixed
mm.misc.080,mostly transferred,mostly museum
mm.misc.086,mostly transferred,mostly museum
mm.misc.094,mostly kept,mostly NA
mm.misc.095,mostly sold,mostly unknown
mm.misc.106,mostly transferred,mostly unknown
mm.misc.155,mostly transferred,mostly museum
mm.misc.165,mostly sold,mostly unknown
mm.misc.198,mostly stored,mostly NA
mm.misc.211,mostly sold,mostly trader
mm.misc.213,mostly stored,mostly NA
mm.misc.214,mostly transferred,mixed
mm.misc.215,mostly transferred,mixed
mm.misc.239,mixed,mixed
mm.misc.263,mixed,mixed
mm.musa.001,mostly sold,mostly trader
mm.musa.008,mostly transferred,mostly museum/library/archive
mm.musa.021,mostly kept,mostly NA
mm.musa.043,mostly sold,mostly unknown
mm.musa.057,mostly stored,mostly NA
mm.musa.115,mostly returned,mostly unknown
mm.musa.116,mostly kept,mostly NA
mm.musa.136,mostly stored,mostly NA
mm.musa.204,mostly sold,mostly trader
mm.musa.220,mixed,mixed
mm.musa.224,mixed,mostly NA
mm.musa.225,mostly left,mostly NA
mm.musa.369,mostly sold,mostly trader
mm.wiki.006,mostly sold,mostly unknown
mm.wiki.015,mixed,mixed
mm.wiki.017,mostly sold,mostly trader
mm.wiki.021,mostly sold,mostly unknown
mm.wiki.027,mixed,mostly NA
mm.wiki.035,mostly sold,mostly trader
mm.wiki.038,mostly stored,mostly NA
mm.wiki.043,mostly transferred,mixed
mm.wiki.044,mixed,mixed
mm.wiki.047,mostly transferred,mostly museum
mm.wiki.049,mostly sold,mostly individual
mm.wiki.060,mostly sold,mostly museum
mm.wiki.061,mostly transferred,mostly museum
mm.wiki.062,mostly sold,mostly museum
mm.wiki.063,mostly sold,mostly individual
mm.wiki.071,mixed,mixed
mm.wiki.073,mixed,mostly unknown
mm.wiki.075,mostly stored,mostly NA
mm.wiki.082,mixed,mixed
mm.wiki.089,mostly returned,mixed
mm.wiki.090,mostly sold,mostly trader
mm.wiki.091,mostly sold,mostly trader
mm.wiki.092,mostly sold,mostly unknown
mm.wiki.096,mostly sold,mostly unknown
mm.wiki.101,mostly sold,mostly trader
mm.wiki.102,mostly sold,mostly trader
mm.wiki.105,mostly transferred,mostly museum
mm.wiki.107,mixed,mixed
mm.wiki.109,mostly sold,mostly individual
mm.wiki.114,mostly left,mostly NA
mm.wiki.117,mixed,mixed
mm.wiki.119,mostly stored,mostly NA
mm.wiki.139,mostly returned,mixed
mm.wiki.149,mostly sold,mostly trader
mm.wiki.155,mixed,mixed
mm.wiki.158,mostly stored,mostly NA
mm.wiki.167,mixed,mixed
mm.wiki.173,mostly stored,mostly NA
mm.wiki.178,mostly kept,mostly NA
mm.wiki.179,mostly sold,mostly individual
mm.wiki.185,mostly stored,mostly NA
mm.wiki.198,mostly sold,mostly unknown
mm.wiki.200,mostly stored,mostly NA
mm.wiki.210,mostly left,mostly NA
mm.wiki.222,mixed,mixed
mm.wiki.224,mostly sold,mostly unknown
mm.wiki.240,mostly stored,mostly NA
mm.wiki.243,mixed,mixed
mm.wiki.254,mostly left,mostly NA
mm.wiki.271,mixed,mixed
mm.wiki.273,mostly transferred,mostly museum
mm.wiki.278,mostly transferred,mixed
mm.wiki.279,mostly stored,mostly NA
mm.wiki.282,mostly moved,mixed
mm.wiki.291,mostly transferred,mostly museum/library/archive
mm.wiki.292,mixed,mixed
mm.wiki.293,mostly stored,mostly NA
mm.wiki.294,mostly sold,mostly unknown
mm.wiki.303,mostly sold,mostly unknown
mm.wiki.309,mostly sold,mostly individual
mm.wiki.315,mostly sold,mostly individual
mm.wiki.316,mostly transferred,mostly civic organisation
mm.wiki.336,mostly sold,mostly unknown
mm.wiki.337,mostly moved,mostly museum/library/archive
mm.wiki.344,mostly returned,mixed
mm.wiki.353,mostly transferred,mostly museum
mm.wiki.354,mixed,mixed
mm.wiki.355,mixed,mostly unknown
mm.wiki.358,mostly left,mostly NA
mm.wiki.361,mostly sold,mostly trader
mm.wiki.367,mixed,mixed
mm.wiki.374,mixed,mixed
mm.wiki.383,mostly transferred,mostly museum
mm.wiki.386,mostly sold,mostly unknown
mm.wiki.387,mostly sold,mostly individual
mm.wiki.389,mostly stored,mostly NA
mm.wiki.391,mostly kept,mostly individual
mm.wiki.394,mostly sold,mostly unknown
mm.wiki.400,mostly left,mostly NA
mm.wiki.411,mixed,mixed
mm.wiki.420,mostly transferred,mostly civic organisation
mm.wiki.423,mixed,mixed
mm.wiki.432,mostly stored,mostly NA
mm.wiki.434,mostly stored,mostly NA
mm.wiki.447,mostly sold,mostly unknown
mm.wiki.454,mostly returned,mixed
mm.wiki.455,mostly sold,mostly unknown
mm.wiki.461,mostly transferred,mostly civic organisation
mm.wiki.464,mostly transferred,mixed
mm.wiki.480,mostly kept,mostly unknown
mm.wiki.481,mostly stored,mostly NA
mm.wiki.499,mostly stored,mostly NA
