type_name,sub_type_of,is_core
other - change of management within local authority - other,other - change of management within local authority,FALSE
collections - lender requested return of loans - other,collections - lender requested return of loans,FALSE
other - already running another museum - other,other - already running another museum,FALSE
financial - funding cut - shopping centre withdrew subsidy,financial - funding cut,FALSE
life events - divorce - other,life events - divorce,FALSE
loss of premises - legal - eviction,loss of premises - legal,FALSE
other - nearby businesses closed - other,other - nearby businesses closed,FALSE
life events - too far away for owners - other,life events - too far away for owners,FALSE
life events - owner's age - other,life events - owner's age,FALSE
loss of premises - legal - other,loss of premises - legal,FALSE
other - return of management to local authority - other,other - return of management to local authority,FALSE
collections - collection repurposed - other,collections - collection repurposed,FALSE
staff - area unsafe for staff - other,staff - area unsafe for staff,FALSE
restructure of host organisation - regimental reorganisation - other,restructure of host organisation - regimental reorganisation,FALSE
financial - funding cut - charity lost funding,financial - funding cut,FALSE
financial - funding cut - museums scotland funding cut,financial - funding cut,FALSE
financial - funding cut - dfe funding cut,financial - funding cut,FALSE
building - unsuitable - poor environmental conditions,building - unsuitable,FALSE
other - loss of perceived value - other,other - loss of perceived value,FALSE
financial - funding cut - university cost cutting,financial - funding cut,FALSE
dispute - access refused by host organisation - other,dispute - access refused by host organisation,FALSE
other - never fully established as a museum - other,other - never fully established as a museum,FALSE
other - associated business sold - other,other - associated business sold,FALSE
financial - managing trust disposing of liabilities - other,financial - managing trust disposing of liabilities,FALSE
life events - owners fell out - other,life events - owners fell out,FALSE
building - condition of building - other,building - condition of building,FALSE
restructure of host organisation - merger of fire services - other,restructure of host organisation - merger of fire services,FALSE
building - building ownership changed - other,building - building ownership changed,FALSE
