event_stage_in_path,super_event_causes,original_collection_id,event_type,recipient_county,sender_town,recipient_name,initial_museum_subject_matter,collection_id,sender_governance,initial_museum_sector,destination_country,destination_id,recipient_postcode,sender_size,collection_status,event_is_end_of_existence,sender_sector,sender_core_type,sender_county,super_event_date,sender_governance_broad,parent_collection_id,collection_size,collection_estimated_size_max,event_date_from,initial_museum_general_type,recipient_town,collection_estimated_size,destination_longitute,origin_longitute,ancestor_collections,sender_accreditation,initial_museum_id,sender_id,sender_general_type,initial_museum_accreditation,initial_museum_type,super_event_id,super_event_cause_types,initial_museum_town,recipient_id,destination_latitude,previous_event_id,event_id,sender_subject,sender_name,sender_country,sender_region,sender_type,collection_types,origin_latitude,initial_museum_governance,collection_description,sender_postcode,destination_region,event_date_to,initial_museum_size,collection_estimated_size_min,initial_museum_country,event_core_type,recipient_general_type,initial_museum_subject_matter_broad,recipient_core_type,origin_region,recipient_governance,recipient_type,recipient_sector,recipient_governance_broad,event_is_change_of_ownership,event_is_change_of_custody,origin_country,initial_museum_region,initial_museum_core_type,event_date,initial_museum_governance_broad,initial_museum_name
0,local authority cuts; too few visitors,cm378snibston-industrial,transferred,,Coalville,Leicester Museums service,Science_and_technology-Other,cm378snibston-industrial,Local_Authority,public,,place1,,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,some,400000.0,,organisation,,125000.0,,,['cm378snibston-industrial'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,leicester-museums-service,,,event1616,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['miscellaneous'],,Local_Authority,industrial heritage items,LE67 3LB,,,large,5000.0,England,free-transfer,organisation,Science_and_technology,civic organisation,,,local authority,public,,True,True,England,East Midlands (English Region),museum,2013/2016,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-loans-misc-private,loans-returned,,Coalville,Person60,Science_and_technology-Other,cm378snibston-loans-misc-private,Local_Authority,public,,place1,,large,loan,False,public,museum,Leicestershire,2013,Local_Authority,,few,100000.0,,organisation,,25000.0,,,['cm378snibston-loans-misc-private'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,p60,,,event1617,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['miscellaneous'],,Local_Authority,,LE67 3LB,,,large,500.0,England,returned,individual,Science_and_technology,individual,,,individual,private,,False,True,England,East Midlands (English Region),museum,2013/2016,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-loans-misc-orgs,loans-returned,,Coalville,Unidentified organisational lenders to Snibston,Science_and_technology-Other,cm378snibston-loans-misc-orgs,Local_Authority,public,,place1,,large,loan,False,public,museum,Leicestershire,2013,Local_Authority,,few,100000.0,,organisation,,25000.0,,,['cm378snibston-loans-misc-orgs'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,snibston-organisational-lenders,,,event1618,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['miscellaneous'],,Local_Authority,,LE67 3LB,,,large,500.0,England,returned,organisation,Science_and_technology,,,,organisation,unknown,,False,True,England,East Midlands (English Region),museum,2013/2016,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-statue,moved,Leicestershire,Coalville,King Edward VII College,Science_and_technology-Other,cm378snibston-statue,Local_Authority,public,,place133,LE67 4UW,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,few,,,organisation,Coalville,,,,['cm378snibston-statue'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,king-edward-vii-college,,,event1619,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['statue'],,Local_Authority,The Last Shift statue,LE67 3LB,,,large,,England,moved,organisation,Science_and_technology,education/research,,,college,public,,False,True,England,East Midlands (English Region),museum,2013/2016,Local_Authority,Snibston Discovery Museum
1,local authority cuts; too few visitors,cm378snibston-statue,displayed,,Coalville,,Science_and_technology-Other,cm378snibston-statue,,public,,,,,collection,False,public,education/research,Leicestershire,2013,,,few,,,organisation,,,,,['cm378snibston-statue'],,mm.domus.EM075,king-edward-vii-college,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,,,event1619,event1620,,King Edward VII College,,,college,['statue'],,Local_Authority,The Last Shift statue,LE67 4UW,,,large,,England,used,,Science_and_technology,,,,,,,False,False,,East Midlands (English Region),museum,2013/2016,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-machinery,left-in-situ,,Coalville,,Science_and_technology-Other,cm378snibston-machinery,Local_Authority,public,,,,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,few,100000.0,,organisation,,25000.0,,,['cm378snibston-machinery'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,,,,event1621,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['mining machine'],,Local_Authority,,LE67 3LB,,,large,500.0,England,left,,Science_and_technology,,,,,,,False,False,,East Midlands (English Region),museum,2013,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-diesel,loaned,Leicestershire,Coalville,Mountsorrel And Rothley Community Heritage Centre,Science_and_technology-Other,cm378snibston-diesel,Local_Authority,public,England,place1123,LE7 7UE,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,few,,,organisation,Leicester,,,,['cm378snibston-diesel'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,mount-sorrel,,,event1622,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['diesel locomotive'],,Local_Authority,Ruston & Hornsby 48DS,LE67 3LB,,,large,,England,loaned,organisation,Science_and_technology,museum,,Independent-Not_for_profit,museum,third,Independent,False,True,England,East Midlands (English Region),museum,2013/..,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-wagon,loaned,Leicestershire,Coalville,Mountsorrel And Rothley Community Heritage Centre,Science_and_technology-Other,cm378snibston-wagon,Local_Authority,public,England,place1123,LE7 7UE,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,few,,,organisation,Leicester,,,,['cm378snibston-wagon'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,mount-sorrel,,,event1623,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['railway wagon'],,Local_Authority,mineral wagon,LE67 3LB,,,large,,England,loaned,organisation,Science_and_technology,museum,,Independent-Not_for_profit,museum,third,Independent,False,True,England,East Midlands (English Region),museum,2013/..,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-aircraft,loaned,Nottinghamshire,Coalville,Newark Air Museum,Science_and_technology-Other,cm378snibston-aircraft,Local_Authority,public,England,place3097,NG24 2NY,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,few,,,organisation,Newark,,,,['cm378snibston-aircraft'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,newark-air-museum,,,event1624,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['aircraft'],,Local_Authority,,LE67 3LB,,,large,,England,loaned,organisation,Science_and_technology,museum,,Independent-Not_for_profit,museum,third,Independent,False,True,England,East Midlands (English Region),museum,2013/..,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-engine,loaned,Staffordshire,Coalville,Claymills Victorian Pumping Station,Science_and_technology-Other,cm378snibston-engine,Local_Authority,public,England,place2123,DE13 0DA,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,few,,,organisation,Burton on Trent,,,,['cm378snibston-engine'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,claymills-pumping,,,event1625,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['stationary engine'],,Local_Authority,"engine originally from Clay Mills, since reassembled",LE67 3LB,,,large,,England,loaned,organisation,Science_and_technology,museum,,Independent-Not_for_profit,museum,third,Independent,False,True,England,East Midlands (English Region),museum,2013/..,Local_Authority,Snibston Discovery Museum
